/Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/center_2019_08_26_16_11_48_253.jpg, /Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/left_2019_08_26_16_11_48_253.jpg, /Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/right_2019_08_26_16_11_48_253.jpg, 0, 0, 0, 8.132178E-05
/Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/center_2019_08_26_16_11_48_359.jpg, /Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/left_2019_08_26_16_11_48_359.jpg, /Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/right_2019_08_26_16_11_48_359.jpg, 0, 0, 0, 8.130915E-05
/Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/center_2019_08_26_16_11_48_467.jpg, /Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/left_2019_08_26_16_11_48_467.jpg, /Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/right_2019_08_26_16_11_48_467.jpg, 0, 0, 0, 8.143926E-05
/Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/center_2019_08_26_16_11_48_572.jpg, /Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/left_2019_08_26_16_11_48_572.jpg, /Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/right_2019_08_26_16_11_48_572.jpg, 0, 0, 0, 8.165369E-05
/Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/center_2019_08_26_16_11_48_675.jpg, /Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/left_2019_08_26_16_11_48_675.jpg, /Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/right_2019_08_26_16_11_48_675.jpg, 0, 0, 0, 8.195145E-05
/Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/center_2019_08_26_16_11_48_775.jpg, /Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/left_2019_08_26_16_11_48_775.jpg, /Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/right_2019_08_26_16_11_48_775.jpg, 0, 0, 0, 8.359952E-05
/Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/center_2019_08_26_16_11_48_880.jpg, /Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/left_2019_08_26_16_11_48_880.jpg, /Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/right_2019_08_26_16_11_48_880.jpg, 0, 0, 0, 8.218168E-05
/Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/center_2019_08_26_16_11_48_982.jpg, /Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/left_2019_08_26_16_11_48_982.jpg, /Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/right_2019_08_26_16_11_48_982.jpg, 0, 0, 0, 8.135892E-05
/Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/center_2019_08_26_16_11_49_091.jpg, /Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/left_2019_08_26_16_11_49_091.jpg, /Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/right_2019_08_26_16_11_49_091.jpg, 0, 0, 0, 8.185651E-05
/Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/center_2019_08_26_16_11_49_195.jpg, /Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/left_2019_08_26_16_11_49_195.jpg, /Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/right_2019_08_26_16_11_49_195.jpg, 0, 0, 0, 8.152282E-05
/Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/center_2019_08_26_16_11_49_300.jpg, /Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/left_2019_08_26_16_11_49_300.jpg, /Users/jerrywang/Desktop/self-driving_car/Final Project/data/IMG/right_2019_08_26_16_11_49_300.jpg, 0, 0, 0, 8.152751E-05
